"Longitude","Latitude","Day_of_Week"
-0.192311,51.496668,"Thu"
-0.201326,51.498245,"Sat"
-0.216389,51.518349,"Fri"
-0.198991,51.506302,"Thu"
-0.175605,51.489305,"Fri"
-0.216055,51.504765,"Sat"
-0.190089,51.501849,"Sat"
-0.195118,51.487628,"Tue"
-0.177051,51.48555,"Thu"
-0.184189,51.501668,"Tue"
-0.194121,51.494627,"Tue"
-0.189938,51.502026,"Wed"
-0.208156,51.500418,"Wed"
-0.177882,51.482775,"Wed"
-0.19044,51.489355,"Sat"
-0.214123,51.502577,"Thu"
-0.18137,51.485617,"Fri"
-0.216374,51.50396,"Sun"
-0.178126,51.480261,"Sun"
-0.214559,51.506181,"Wed"
-0.187432,51.481664,"Thu"
-0.202646,51.497636,"Sat"
-0.196944,51.496109,"Wed"
-0.196115,51.495197,"Thu"
-0.209801,51.520946,"Thu"
-0.185573,51.484963,"Fri"
-0.173445,51.482077,"Sun"
-0.200256,51.492473,"Fri"
-0.196824,51.513733,"Wed"
-0.202071,51.49394,"Sat"
-0.184073,51.500947,"Thu"
-0.208211,51.506354,"Thu"
-0.173158,51.485669,"Wed"
-0.15689,51.492609,"Thu"
-0.185637,51.483345,"Tue"
-0.165437,51.498588,"Thu"
-0.176357,51.48491,"Sun"
-0.224966,51.520187,"Fri"
-0.205793,51.498223,"Tue"
-0.187207,51.49461,"Thu"
-0.218592,51.52099,"Fri"
-0.18374,51.494826,"Fri"
-0.158131,51.493977,"Mon"
-0.162932,51.499988,"Sat"
-0.191101,51.501775,"Sat"
-0.225552,51.519927,"Sat"
-0.157632,51.488484,"Thu"
-0.193447,51.500732,"Wed"
-0.219678,51.522715,"Sat"
-0.199672,51.518273,"Tue"
-0.200778,51.508488,"Wed"
-0.199914,51.508475,"Thu"
-0.182617,51.49409,"Wed"
-0.186605,51.484349,"Tue"
-0.21765,51.519267,"Fri"
-0.222674,51.516106,"Wed"
-0.160108,51.4914,"Wed"
-0.17695,51.480872,"Wed"
-0.168987,51.485514,"Mon"
-0.221279,51.514916,"Tue"
-0.165265,51.495708,"Fri"
-0.206,51.496608,"Wed"
-0.204713,51.507379,"Wed"
-0.214833,51.506545,"Thu"
-0.182694,51.484918,"Thu"
-0.201927,51.493938,"Fri"
-0.196144,51.494478,"Thu"
-0.173619,51.495748,"Thu"
-0.159386,51.484285,"Wed"
-0.216871,51.528158,"Fri"
-0.161673,51.491875,"Thu"
-0.213979,51.502575,"Thu"
-0.193765,51.49633,"Tue"
-0.184189,51.501668,"Wed"
-0.165903,51.483398,"Thu"
-0.202973,51.522281,"Sun"
-0.214537,51.525155,"Tue"
-0.15549,51.502299,"Thu"
-0.186271,51.485513,"Fri"
-0.178881,51.493852,"Sun"
-0.205238,51.51602,"Wed"
-0.158257,51.494429,"Wed"
-0.160419,51.501567,"Sat"
-0.213132,51.51686,"Wed"
-0.183017,51.494905,"Wed"
-0.208445,51.51508,"Sat"
-0.165581,51.49859,"Thu"
-0.180335,51.493515,"Fri"
-0.159354,51.499392,"Fri"
-0.195978,51.495015,"Sun"
-0.175802,51.484362,"Mon"
-0.214618,51.519401,"Fri"
-0.169933,51.487058,"Thu"
-0.221533,51.519506,"Sun"
-0.186385,51.482637,"Fri"
-0.182977,51.492297,"Fri"
-0.203707,51.496303,"Tue"
-0.212517,51.521527,"Thu"
-0.178414,51.480266,"Sat"
-0.191808,51.491174,"Tue"
-0.188628,51.502366,"Fri"
-0.168504,51.490363,"Sun"
-0.154879,51.48889,"Wed"
-0.167778,51.483337,"Mon"
-0.21588,51.527693,"Sat"
-0.205556,51.52259,"Thu"
-0.217731,51.513513,"Thu"
-0.202572,51.499523,"Fri"
-0.188794,51.494545,"Fri"
-0.16894,51.493877,"Wed"
-0.170228,51.486883,"Wed"
-0.17363,51.491882,"Thu"
-0.211712,51.519986,"Sat"
-0.182104,51.485269,"Sun"
-0.202113,51.522177,"Tue"
-0.178858,51.487197,"Sat"
-0.215233,51.50736,"Sat"
-0.216424,51.510076,"Thu"
-0.204152,51.517982,"Sun"
-0.162342,51.496741,"Thu"
-0.2036,51.517344,"Thu"
-0.194114,51.509375,"Wed"
-0.182016,51.480232,"Thu"
-0.197891,51.508624,"Thu"
-0.207433,51.518842,"Sun"
-0.209509,51.521032,"Tue"
-0.214948,51.525701,"Wed"
-0.161002,51.501396,"Fri"
-0.15849,51.499379,"Wed"
-0.210204,51.49964,"Mon"
-0.157632,51.488484,"Sat"
-0.149983,51.485306,"Sat"
-0.166662,51.486018,"Tue"
-0.203799,51.508624,"Mon"
-0.213284,51.501935,"Mon"
-0.154751,51.484931,"Tue"
-0.179573,51.480104,"Sun"
-0.165732,51.498413,"Tue"
-0.192967,51.498296,"Fri"
-0.201346,51.512364,"Mon"
-0.160419,51.501567,"Fri"
-0.160506,51.49941,"Sat"
-0.172204,51.4915,"Wed"
-0.158401,51.494431,"Mon"
-0.182694,51.484918,"Tue"
-0.216161,51.527877,"Mon"
-0.200778,51.508488,"Fri"
-0.159652,51.499127,"Sat"
-0.15789,51.492805,"Sun"
-0.155861,51.489535,"Tue"
-0.19529,51.494195,"Wed"
-0.173445,51.482077,"Wed"
-0.177051,51.48555,"Sat"
-0.191389,51.501779,"Sat"
-0.20107,51.508403,"Tue"
-0.215226,51.525975,"Thu"
-0.208449,51.51499,"Sat"
-0.198045,51.508356,"Thu"
-0.205926,51.498495,"Fri"
-0.163378,51.499635,"Sun"
-0.216828,51.510802,"Tue"
-0.177051,51.48555,"Tue"
-0.169253,51.493252,"Fri"
-0.168238,51.497013,"Sun"
-0.18014,51.491174,"Sat"
-0.221325,51.513748,"Wed"
-0.167889,51.487745,"Sun"
-0.1735,51.495117,"Wed"
-0.102492,51.512065,"Thu"
-0.08832,51.509766,"Thu"
-0.089906,51.513209,"Fri"
-0.083512,51.514454,"Tue"
-0.103113,51.510996,"Sat"
-0.10061,51.515721,"Fri"
-0.074628,51.509812,"Mon"
-0.083777,51.511581,"Wed"
-0.086456,51.509556,"Sun"
-0.101059,51.518786,"Tue"
-0.086771,51.512349,"Thu"
-0.105146,51.514086,"Sat"
-0.097406,51.519986,"Sat"
-0.087155,51.516942,"Tue"
-0.085831,51.510715,"Wed"
-0.080503,51.517462,"Sat"
-0.079384,51.513217,"Wed"
-0.075007,51.511077,"Thu"
-0.081515,51.520806,"Fri"
-0.0799,51.518082,"Wed"
-0.088872,51.517239,"Wed"
-0.107869,51.510983,"Thu"
-0.079745,51.518349,"Wed"
